"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 28 13:31:18 IST 2024","Fri Jun 28 13:31:24 IST 2024","5394","Suite","Test","ddcparallel.Firefox","ddcparallel.Firefox","GetAnAppointment","GetAnAppointment",""
"broken","Fri Jun 28 09:13:48 IST 2024","Fri Jun 28 09:13:48 IST 2024","2","Suite","Test","ddcparallel.Firefox","ddcparallel.Firefox","setUp","setUp",""
"passed","Fri Jun 28 15:58:41 IST 2024","Fri Jun 28 15:58:41 IST 2024","6","Default suite","Default test","ddcparallel.Edge","ddcparallel.Edge","URLverification","URLverification",""
"broken","Fri Jun 28 15:59:13 IST 2024","Fri Jun 28 15:59:19 IST 2024","5875","Default suite","Default test","ddcparallel.Edge","ddcparallel.Edge","LINKDIRECTING","LINKDIRECTING",""
"broken","Thu Jun 27 17:12:17 IST 2024","Thu Jun 27 17:12:19 IST 2024","2028","Suite","Test","ddcparallel.Firefox","ddcparallel.Firefox","Promotions","Promotions",""
"broken","Fri Jun 28 13:29:37 IST 2024","Fri Jun 28 13:29:39 IST 2024","2046","Suite","Test","ddcparallel.Chrome","ddcparallel.Chrome","BookNow","BookNow",""
"passed","Fri Jun 28 15:58:41 IST 2024","Fri Jun 28 15:58:44 IST 2024","3421","Default suite","Default test","ddcparallel.Edge","ddcparallel.Edge","Slider","Slider",""
"broken","Fri Jun 28 13:30:53 IST 2024","Fri Jun 28 13:30:53 IST 2024","17","Suite","Test","ddcparallel.Chrome","ddcparallel.Chrome","Slider","Slider",""
"broken","Fri Jun 28 13:31:34 IST 2024","Fri Jun 28 13:31:54 IST 2024","20007","Suite","Test","ddcparallel.Firefox","ddcparallel.Firefox","phonenumberAndemailvalidation","phonenumberAndemailvalidation",""
"passed","Fri Jun 28 13:30:53 IST 2024","Fri Jun 28 13:30:53 IST 2024","3","Suite","Test","ddcparallel.Firefox","ddcparallel.Firefox","URLverification","URLverification",""
"broken","Fri Jun 28 15:59:31 IST 2024","Fri Jun 28 15:59:50 IST 2024","19054","Default suite","Default test","ddcparallel.Edge","ddcparallel.Edge","ABOUT","ABOUT",""
"broken","Fri Jun 28 12:55:28 IST 2024","Fri Jun 28 12:55:28 IST 2024","19","Suite","Test","ddcparallel.Firefox","ddcparallel.Firefox","contactUs","contactUs",""
"passed","Fri Jun 28 13:30:19 IST 2024","Fri Jun 28 13:30:31 IST 2024","12371","Suite","Test","ddcparallel.Chrome","ddcparallel.Chrome","gallery","gallery",""
