"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 24 16:58:16 IST 2024","Wed Jan 24 16:58:16 IST 2024","5","Default suite","Default test","ddclabs.DDCfrontend","ddclabs.DDCfrontend","Promotions","Promotions",""
"broken","Mon Mar 11 14:23:06 IST 2024","Mon Mar 11 14:23:38 IST 2024","32131","Default suite","Default test","ddclabs.DDCfrontend","ddclabs.DDCfrontend","BookNow","BookNow","this test verifies user is able to book packages"
"passed","Mon Mar 11 14:22:35 IST 2024","Mon Mar 11 14:22:53 IST 2024","18146","Default suite","Default test","ddclabs.DDCfrontend","ddclabs.DDCfrontend","GetAnAppointment","GetAnAppointment","this test verifies user is able to take appointments"
"broken","Fri Jun 21 11:19:54 IST 2024","Fri Jun 21 11:20:09 IST 2024","15245","Suite","Test","ddclabs.DDC","ddclabs.DDC","applications","applications",""
"skipped","Tue Jun 11 09:23:20 IST 2024","Tue Jun 11 09:23:20 IST 2024","1","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","loginScenarios","loginScenarios",""
"passed","Wed Jun 12 09:57:36 IST 2024","Wed Jun 12 09:57:47 IST 2024","10382","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","loginScenarios","loginScenarios",""
"broken","Wed Jun 12 09:55:09 IST 2024","Wed Jun 12 09:55:19 IST 2024","10326","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","Dashboard","Dashboard",""
"passed","Mon Mar 11 14:24:10 IST 2024","Mon Mar 11 14:24:23 IST 2024","12549","Default suite","Default test","ddclabs.DDCfrontend","ddclabs.DDCfrontend","gallery","gallery","this test verifies user is able to view gallery images"
"passed","Wed Jun 12 09:57:47 IST 2024","Wed Jun 12 09:57:57 IST 2024","10447","Default suite","Default test","ddclabs.DDC","ddclabs.DDC","loginScenarios","loginScenarios",""
"passed","Thu Jun 20 14:42:38 IST 2024","Thu Jun 20 14:42:38 IST 2024","716","Suite","Test","ddclabs.DDC","ddclabs.DDC","VacanciesEdit","VacanciesEdit",""
